Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
SRR29920099_1	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.3333333333333333)	(31.0, 0.3333333333333333)	(32.0, 0.0)	(33.0, 0.0)	(34.0, 0.0)	(35.0, 0.3333333333333333)	(36.0, 0.6666666666666666)	(37.0, 0.0)	(38.0, 0.3333333333333333)	(39.0, 0.3333333333333333)	(40.0, 0.6666666666666666)	(41.0, 0.3333333333333333)	(42.0, 0.0)	(43.0, 0.3333333333333333)	(44.0, 1.0)	(45.0, 1.3333333333333333)	(46.0, 2.6666666666666665)	(47.0, 3.666666666666667)	(48.0, 17.000000000000007)	(49.0, 71.66666666666673)	(50.0, 387.9999999999954)	(51.0, 1112.3333333333596)	(52.0, 3160.3333333336527)	(53.0, 11970.333333337225)	(54.0, 8709.666666664627)	(55.0, 1365.9999999999686)	(56.0, 762.0000000000167)	(57.0, 974.0000000000408)	(58.0, 617.0000000000002)	(59.0, 121.99999999999935)	(60.0, 38.33333333333333)	(61.0, 19.666666666666664)	(62.0, 13.000000000000005)	(63.0, 3.3333333333333335)	(64.0, 1.0)	(65.0, 1.3333333333333333)	(66.0, 1.6666666666666665)	(67.0, 0.0)	(68.0, 0.3333333333333333)	(69.0, 1.3333333333333333)	(70.0, 0.6666666666666666)	(71.0, 0.0)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
SRR29920099_2	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.0)	(32.0, 0.0)	(33.0, 0.0)	(34.0, 0.0)	(35.0, 0.0)	(36.0, 0.0)	(37.0, 0.0)	(38.0, 0.0)	(39.0, 0.0)	(40.0, 0.0)	(41.0, 0.0)	(42.0, 0.3333333333333333)	(43.0, 0.6666666666666666)	(44.0, 0.6666666666666666)	(45.0, 0.3333333333333333)	(46.0, 0.6666666666666666)	(47.0, 1.3333333333333333)	(48.0, 3.0)	(49.0, 13.33333333333334)	(50.0, 47.66666666666673)	(51.0, 215.00000000000173)	(52.0, 1146.333333333352)	(53.0, 2247.3333333332375)	(54.0, 5902.666666665768)	(55.0, 11767.66666667019)	(56.0, 4506.333333333705)	(57.0, 712.000000000011)	(58.0, 579.6666666666626)	(59.0, 315.33333333333286)	(60.0, 236.33333333333567)	(61.0, 678.3333333333405)	(62.0, 735.333333333347)	(63.0, 151.99999999999994)	(64.0, 44.66666666666671)	(65.0, 23.66666666666665)	(66.0, 15.000000000000009)	(67.0, 8.999999999999998)	(68.0, 4.0)	(69.0, 2.6666666666666665)	(70.0, 1.9999999999999998)	(71.0, 1.3333333333333333)	(72.0, 0.6666666666666666)	(73.0, 1.0)	(74.0, 0.6666666666666666)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.3333333333333333)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
SRR29920100_1	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.0)	(32.0, 0.0)	(33.0, 0.0)	(34.0, 0.0)	(35.0, 0.0)	(36.0, 0.0)	(37.0, 0.3333333333333333)	(38.0, 0.3333333333333333)	(39.0, 0.0)	(40.0, 0.0)	(41.0, 0.6666666666666666)	(42.0, 0.6666666666666666)	(43.0, 0.6666666666666666)	(44.0, 1.0)	(45.0, 0.3333333333333333)	(46.0, 0.6666666666666666)	(47.0, 1.0)	(48.0, 6.666666666666664)	(49.0, 69.0000000000001)	(50.0, 284.3333333333346)	(51.0, 626.666666666668)	(52.0, 3927.000000000668)	(53.0, 15648.000000010581)	(54.0, 10428.666666667754)	(55.0, 1182.0000000000105)	(56.0, 234.00000000000227)	(57.0, 118.66666666666606)	(58.0, 68.00000000000011)	(59.0, 32.66666666666662)	(60.0, 23.66666666666665)	(61.0, 14.666666666666675)	(62.0, 9.666666666666666)	(63.0, 5.333333333333332)	(64.0, 1.9999999999999998)	(65.0, 0.3333333333333333)	(66.0, 3.0)	(67.0, 1.0)	(68.0, 0.0)	(69.0, 0.6666666666666666)	(70.0, 1.3333333333333333)	(71.0, 0.0)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
SRR29920100_2	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.0)	(32.0, 0.0)	(33.0, 0.0)	(34.0, 0.0)	(35.0, 0.0)	(36.0, 0.0)	(37.0, 0.0)	(38.0, 0.0)	(39.0, 0.0)	(40.0, 0.0)	(41.0, 0.3333333333333333)	(42.0, 0.3333333333333333)	(43.0, 0.6666666666666666)	(44.0, 1.0)	(45.0, 1.9999999999999998)	(46.0, 0.6666666666666666)	(47.0, 1.0)	(48.0, 2.333333333333333)	(49.0, 11.333333333333336)	(50.0, 38.33333333333333)	(51.0, 242.33333333333584)	(52.0, 1402.3333333332937)	(53.0, 1782.6666666665406)	(54.0, 3846.666666667298)	(55.0, 13292.33333333963)	(56.0, 10028.333333333692)	(57.0, 1278.9999999999884)	(58.0, 329.33333333333206)	(59.0, 143.99999999999972)	(60.0, 93.33333333333309)	(61.0, 62.666666666666835)	(62.0, 34.3333333333333)	(63.0, 20.33333333333333)	(64.0, 13.666666666666673)	(65.0, 11.000000000000002)	(66.0, 8.33333333333333)	(67.0, 3.666666666666667)	(68.0, 5.999999999999998)	(69.0, 1.9999999999999998)	(70.0, 1.6666666666666665)	(71.0, 3.0)	(72.0, 1.3333333333333333)	(73.0, 0.3333333333333333)	(74.0, 0.0)	(75.0, 0.3333333333333333)	(76.0, 0.3333333333333333)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.3333333333333333)	(90.0, 0.3333333333333333)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
SRR29920101_1	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.3333333333333333)	(31.0, 0.3333333333333333)	(32.0, 0.0)	(33.0, 0.0)	(34.0, 0.0)	(35.0, 0.0)	(36.0, 0.3333333333333333)	(37.0, 0.3333333333333333)	(38.0, 0.6666666666666666)	(39.0, 0.3333333333333333)	(40.0, 0.3333333333333333)	(41.0, 0.3333333333333333)	(42.0, 0.3333333333333333)	(43.0, 0.3333333333333333)	(44.0, 0.3333333333333333)	(45.0, 0.3333333333333333)	(46.0, 0.3333333333333333)	(47.0, 4.0)	(48.0, 19.666666666666664)	(49.0, 113.66666666666613)	(50.0, 566.6666666666612)	(51.0, 1498.6666666666051)	(52.0, 3801.6666666672777)	(53.0, 10268.333333334129)	(54.0, 7242.999999997883)	(55.0, 1401.6666666666272)	(56.0, 841.6666666666924)	(57.0, 445.9999999999921)	(58.0, 223.3333333333353)	(59.0, 60.66666666666682)	(60.0, 21.333333333333325)	(61.0, 17.000000000000007)	(62.0, 8.33333333333333)	(63.0, 2.6666666666666665)	(64.0, 0.6666666666666666)	(65.0, 1.6666666666666665)	(66.0, 0.6666666666666666)	(67.0, 1.0)	(68.0, 0.3333333333333333)	(69.0, 0.3333333333333333)	(70.0, 0.3333333333333333)	(71.0, 0.0)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.6666666666666666)	(75.0, 0.3333333333333333)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
SRR29920101_2	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.0)	(32.0, 0.0)	(33.0, 0.0)	(34.0, 0.0)	(35.0, 0.0)	(36.0, 0.0)	(37.0, 0.0)	(38.0, 0.0)	(39.0, 0.0)	(40.0, 0.0)	(41.0, 0.3333333333333333)	(42.0, 0.3333333333333333)	(43.0, 0.6666666666666666)	(44.0, 0.3333333333333333)	(45.0, 0.6666666666666666)	(46.0, 0.3333333333333333)	(47.0, 1.6666666666666665)	(48.0, 3.666666666666667)	(49.0, 23.66666666666665)	(50.0, 91.66666666666644)	(51.0, 415.3333333333272)	(52.0, 1966.3333333331655)	(53.0, 3061.000000000274)	(54.0, 5323.999999999628)	(55.0, 8959.666666665082)	(56.0, 3647.333333333874)	(57.0, 944.3333333333708)	(58.0, 847.3333333333597)	(59.0, 460.99999999999125)	(60.0, 235.666666666669)	(61.0, 317.66666666666606)	(62.0, 226.3333333333354)	(63.0, 42.33333333333336)	(64.0, 16.333333333333343)	(65.0, 15.333333333333343)	(66.0, 10.333333333333334)	(67.0, 9.333333333333332)	(68.0, 5.666666666666665)	(69.0, 1.6666666666666665)	(70.0, 0.3333333333333333)	(71.0, 0.3333333333333333)	(72.0, 0.6666666666666666)	(73.0, 0.6666666666666666)	(74.0, 0.0)	(75.0, 0.3333333333333333)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.3333333333333333)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
SRR29920102_1	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.0)	(32.0, 0.0)	(33.0, 0.3333333333333333)	(34.0, 0.3333333333333333)	(35.0, 0.6666666666666666)	(36.0, 1.0)	(37.0, 0.6666666666666666)	(38.0, 0.3333333333333333)	(39.0, 1.0)	(40.0, 0.3333333333333333)	(41.0, 0.3333333333333333)	(42.0, 1.3333333333333333)	(43.0, 0.6666666666666666)	(44.0, 1.0)	(45.0, 1.0)	(46.0, 2.333333333333333)	(47.0, 4.666666666666666)	(48.0, 18.666666666666668)	(49.0, 179.0000000000007)	(50.0, 810.0000000000222)	(51.0, 1379.6666666666322)	(52.0, 4430.666666667107)	(53.0, 16315.666666678462)	(54.0, 11254.000000002588)	(55.0, 1333.999999999976)	(56.0, 324.33333333333235)	(57.0, 139.33333333333292)	(58.0, 74.66666666666669)	(59.0, 55.666666666666785)	(60.0, 34.99999999999997)	(61.0, 14.333333333333341)	(62.0, 8.666666666666664)	(63.0, 3.3333333333333335)	(64.0, 1.3333333333333333)	(65.0, 1.0)	(66.0, 1.9999999999999998)	(67.0, 0.3333333333333333)	(68.0, 0.0)	(69.0, 0.6666666666666666)	(70.0, 1.3333333333333333)	(71.0, 0.0)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
SRR29920102_2	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.0)	(32.0, 0.3333333333333333)	(33.0, 0.0)	(34.0, 1.0)	(35.0, 0.6666666666666666)	(36.0, 0.0)	(37.0, 0.0)	(38.0, 0.0)	(39.0, 0.0)	(40.0, 1.0)	(41.0, 0.6666666666666666)	(42.0, 0.3333333333333333)	(43.0, 0.3333333333333333)	(44.0, 1.6666666666666665)	(45.0, 1.3333333333333333)	(46.0, 1.0)	(47.0, 1.9999999999999998)	(48.0, 3.666666666666667)	(49.0, 24.99999999999998)	(50.0, 75.33333333333334)	(51.0, 202.66666666666805)	(52.0, 935.3333333333698)	(53.0, 1807.3333333332016)	(54.0, 5201.333333333073)	(55.0, 15136.666666676318)	(56.0, 10579.00000000136)	(57.0, 1451.6666666666158)	(58.0, 449.99999999999187)	(59.0, 229.33333333333547)	(60.0, 147.99999999999983)	(61.0, 81.66666666666659)	(62.0, 32.66666666666662)	(63.0, 19.0)	(64.0, 11.000000000000002)	(65.0, 7.666666666666663)	(66.0, 9.333333333333332)	(67.0, 6.666666666666664)	(68.0, 4.999999999999999)	(69.0, 2.333333333333333)	(70.0, 1.0)	(71.0, 0.3333333333333333)	(72.0, 1.0)	(73.0, 1.0)	(74.0, 0.0)	(75.0, 0.3333333333333333)	(76.0, 1.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.3333333333333333)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
SRR29920103_1	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.3333333333333333)	(29.0, 0.0)	(30.0, 0.3333333333333333)	(31.0, 0.0)	(32.0, 0.0)	(33.0, 0.0)	(34.0, 0.0)	(35.0, 0.3333333333333333)	(36.0, 0.6666666666666666)	(37.0, 0.6666666666666666)	(38.0, 0.6666666666666666)	(39.0, 0.6666666666666666)	(40.0, 0.6666666666666666)	(41.0, 1.0)	(42.0, 0.6666666666666666)	(43.0, 0.0)	(44.0, 0.6666666666666666)	(45.0, 1.3333333333333333)	(46.0, 1.3333333333333333)	(47.0, 1.3333333333333333)	(48.0, 19.333333333333332)	(49.0, 103.66666666666627)	(50.0, 464.6666666666577)	(51.0, 1282.333333333321)	(52.0, 5002.666666666587)	(53.0, 14064.666666674368)	(54.0, 9039.666666665227)	(55.0, 1608.9999999999134)	(56.0, 807.6666666666886)	(57.0, 854.0000000000272)	(58.0, 524.333333333323)	(59.0, 90.99999999999979)	(60.0, 30.333333333333293)	(61.0, 20.66666666666666)	(62.0, 8.666666666666664)	(63.0, 4.999999999999999)	(64.0, 1.6666666666666665)	(65.0, 1.3333333333333333)	(66.0, 1.3333333333333333)	(67.0, 1.0)	(68.0, 0.6666666666666666)	(69.0, 0.6666666666666666)	(70.0, 0.0)	(71.0, 0.0)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
SRR29920103_2	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.0)	(32.0, 0.0)	(33.0, 0.0)	(34.0, 0.0)	(35.0, 0.0)	(36.0, 0.0)	(37.0, 0.0)	(38.0, 0.0)	(39.0, 0.0)	(40.0, 0.0)	(41.0, 0.3333333333333333)	(42.0, 0.0)	(43.0, 1.3333333333333333)	(44.0, 2.333333333333333)	(45.0, 1.3333333333333333)	(46.0, 1.0)	(47.0, 2.6666666666666665)	(48.0, 3.0)	(49.0, 20.33333333333333)	(50.0, 81.33333333333326)	(51.0, 726.0000000000126)	(52.0, 4037.000000000718)	(53.0, 4894.333333333352)	(54.0, 5565.333333332742)	(55.0, 9825.99999999999)	(56.0, 4050.3333333340574)	(57.0, 1026.3333333333792)	(58.0, 1210.6666666666706)	(59.0, 665.0000000000057)	(60.0, 306.00000000000006)	(61.0, 673.0000000000066)	(62.0, 634.6666666666689)	(63.0, 129.99999999999932)	(64.0, 36.999999999999986)	(65.0, 21.99999999999999)	(66.0, 12.333333333333337)	(67.0, 6.333333333333331)	(68.0, 4.999999999999999)	(69.0, 2.333333333333333)	(70.0, 1.9999999999999998)	(71.0, 1.9999999999999998)	(72.0, 0.3333333333333333)	(73.0, 0.6666666666666666)	(74.0, 1.6666666666666665)	(75.0, 0.0)	(76.0, 0.6666666666666666)	(77.0, 0.0)	(78.0, 0.3333333333333333)	(79.0, 0.3333333333333333)	(80.0, 0.3333333333333333)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
