Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
SRR29920099_1	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0011352026336700243)	(31.0, 0.0011352026336700243)	(32.0, 0.0)	(33.0, 0.0)	(34.0, 0.0)	(35.0, 0.0011352026336700243)	(36.0, 0.0022704052673400486)	(37.0, 0.0)	(38.0, 0.0011352026336700243)	(39.0, 0.0011352026336700243)	(40.0, 0.0022704052673400486)	(41.0, 0.0011352026336700243)	(42.0, 0.0)	(43.0, 0.0011352026336700243)	(44.0, 0.0034056079010100727)	(45.0, 0.004540810534680097)	(46.0, 0.009081621069360194)	(47.0, 0.01248722897037027)	(48.0, 0.05789533431717126)	(49.0, 0.24406856623905546)	(50.0, 1.3213758655918928)	(51.0, 3.788171188556961)	(52.0, 10.76285616982659)	(53.0, 40.7662617777375)	(54.0, 29.661709615157122)	(55.0, 4.652060392779653)	(56.0, 2.595073220569733)	(57.0, 3.3170620955839505)	(58.0, 2.101260074923216)	(59.0, 0.41548416392322673)	(60.0, 0.13054830287205277)	(61.0, 0.06697695538653142)	(62.0, 0.04427290271313097)	(63.0, 0.011352026336700244)	(64.0, 0.0034056079010100727)	(65.0, 0.004540810534680097)	(66.0, 0.005676013168350121)	(67.0, 0.0)	(68.0, 0.0011352026336700243)	(69.0, 0.004540810534680097)	(70.0, 0.0022704052673400486)	(71.0, 0.0)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
SRR29920099_2	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.0)	(32.0, 0.0)	(33.0, 0.0)	(34.0, 0.0)	(35.0, 0.0)	(36.0, 0.0)	(37.0, 0.0)	(38.0, 0.0)	(39.0, 0.0)	(40.0, 0.0)	(41.0, 0.0)	(42.0, 0.0011350480125308158)	(43.0, 0.0022700960250616317)	(44.0, 0.0022700960250616317)	(45.0, 0.0011350480125308158)	(46.0, 0.0022700960250616317)	(47.0, 0.004540192050123263)	(48.0, 0.010215432112777343)	(49.0, 0.04540192050123266)	(50.0, 0.16231186579190687)	(51.0, 0.7321059680823823)	(52.0, 3.903430115093539)	(53.0, 7.652493700482435)	(54.0, 20.09943020589263)	(55.0, 40.07059998638739)	(56.0, 15.344714081405368)	(57.0, 2.4244625547658605)	(58.0, 1.9738484937910754)	(59.0, 1.0737554198541504)	(60.0, 0.8047490408843564)	(61.0, 2.3098227055002347)	(62.0, 2.503915915643027)	(63.0, 0.5175818937140518)	(64.0, 0.15209643367912948)	(65.0, 0.08058840888968788)	(66.0, 0.051077160563886746)	(67.0, 0.030646296338332026)	(68.0, 0.013620576150369792)	(69.0, 0.009080384100246527)	(70.0, 0.006810288075184896)	(71.0, 0.004540192050123263)	(72.0, 0.0022700960250616317)	(73.0, 0.003405144037592448)	(74.0, 0.0022700960250616317)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0011350480125308158)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
SRR29920100_1	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.0)	(32.0, 0.0)	(33.0, 0.0)	(34.0, 0.0)	(35.0, 0.0)	(36.0, 0.0)	(37.0, 0.001019586251898594)	(38.0, 0.001019586251898594)	(39.0, 0.0)	(40.0, 0.0)	(41.0, 0.002039172503797188)	(42.0, 0.002039172503797188)	(43.0, 0.002039172503797188)	(44.0, 0.0030587587556957824)	(45.0, 0.001019586251898594)	(46.0, 0.002039172503797188)	(47.0, 0.0030587587556957824)	(48.0, 0.020391725037971875)	(49.0, 0.2110543541430093)	(50.0, 0.8697070728695047)	(51.0, 1.916822153569361)	(52.0, 12.01174563361938)	(53.0, 47.863457009159966)	(54.0, 31.898775476902742)	(55.0, 3.6154528492324465)	(56.0, 0.7157495488328199)	(57.0, 0.3629727056758977)	(58.0, 0.20799559538731355)	(59.0, 0.09991945268606207)	(60.0, 0.07239062388480014)	(61.0, 0.044861795083538165)	(62.0, 0.029568001305059228)	(63.0, 0.0163133800303775)	(64.0, 0.006117517511391563)	(65.0, 0.001019586251898594)	(66.0, 0.009176276267087348)	(67.0, 0.0030587587556957824)	(68.0, 0.0)	(69.0, 0.002039172503797188)	(70.0, 0.004078345007594376)	(71.0, 0.0)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
SRR29920100_2	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.0)	(32.0, 0.0)	(33.0, 0.0)	(34.0, 0.0)	(35.0, 0.0)	(36.0, 0.0)	(37.0, 0.0)	(38.0, 0.0)	(39.0, 0.0)	(40.0, 0.0)	(41.0, 0.0010203665156522004)	(42.0, 0.0010203665156522004)	(43.0, 0.0020407330313044008)	(44.0, 0.003061099546956601)	(45.0, 0.006122199093913202)	(46.0, 0.0020407330313044008)	(47.0, 0.003061099546956601)	(48.0, 0.007142565609565402)	(49.0, 0.034692461532174826)	(50.0, 0.11734214930000303)	(51.0, 0.7418064568791574)	(52.0, 4.292681931348686)	(53.0, 5.4569201257075814)	(54.0, 11.775029590628327)	(55.0, 40.68915554468207)	(56.0, 30.697726623397546)	(57.0, 3.9151463205574575)	(58.0, 1.0081221174643702)	(59.0, 0.44079833476174973)	(60.0, 0.28570262438261534)	(61.0, 0.19182890494261418)	(62.0, 0.10509775111217654)	(63.0, 0.062242357454784215)	(64.0, 0.04183502714174024)	(65.0, 0.03367209501652262)	(66.0, 0.025509162891305004)	(67.0, 0.011224031672174206)	(68.0, 0.018366597281739602)	(69.0, 0.006122199093913202)	(70.0, 0.005101832578261001)	(71.0, 0.009183298640869803)	(72.0, 0.0040814660626088016)	(73.0, 0.0010203665156522004)	(74.0, 0.0)	(75.0, 0.0010203665156522004)	(76.0, 0.0010203665156522004)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0010203665156522004)	(90.0, 0.0010203665156522004)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
SRR29920101_1	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0012555400705613893)	(31.0, 0.0012555400705613893)	(32.0, 0.0)	(33.0, 0.0)	(34.0, 0.0)	(35.0, 0.0)	(36.0, 0.0012555400705613893)	(37.0, 0.0012555400705613893)	(38.0, 0.0025110801411227786)	(39.0, 0.0012555400705613893)	(40.0, 0.0012555400705613893)	(41.0, 0.0012555400705613893)	(42.0, 0.0012555400705613893)	(43.0, 0.0012555400705613893)	(44.0, 0.0012555400705613893)	(45.0, 0.0012555400705613893)	(46.0, 0.0012555400705613893)	(47.0, 0.015066480846736674)	(48.0, 0.07407686416312197)	(49.0, 0.42813916406143177)	(50.0, 2.1344181199543413)	(51.0, 5.644908157243775)	(52.0, 14.31943450475495)	(53.0, 38.676911873646596)	(54.0, 27.281630193220458)	(55.0, 5.279545996710494)	(56.0, 3.1702386781676055)	(57.0, 1.6799126144111092)	(58.0, 0.8412118472761384)	(59.0, 0.22850829284217347)	(60.0, 0.0803545645159289)	(61.0, 0.06403254359863089)	(62.0, 0.031388501764034724)	(63.0, 0.010044320564491114)	(64.0, 0.0025110801411227786)	(65.0, 0.006277700352806947)	(66.0, 0.0025110801411227786)	(67.0, 0.0037666202116841685)	(68.0, 0.0012555400705613893)	(69.0, 0.0012555400705613893)	(70.0, 0.0012555400705613893)	(71.0, 0.0)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0025110801411227786)	(75.0, 0.0012555400705613893)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
SRR29920101_2	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.0)	(32.0, 0.0)	(33.0, 0.0)	(34.0, 0.0)	(35.0, 0.0)	(36.0, 0.0)	(37.0, 0.0)	(38.0, 0.0)	(39.0, 0.0)	(40.0, 0.0)	(41.0, 0.0012515801199014347)	(42.0, 0.0012515801199014347)	(43.0, 0.0025031602398028693)	(44.0, 0.0012515801199014347)	(45.0, 0.0025031602398028693)	(46.0, 0.0012515801199014347)	(47.0, 0.006257900599507173)	(48.0, 0.013767381318915785)	(49.0, 0.08886218851300182)	(50.0, 0.34418453297289375)	(51.0, 1.5594688293971646)	(52.0, 7.383071127297934)	(53.0, 11.493260241055905)	(54.0, 19.99023767506432)	(55.0, 33.641222042824715)	(56.0, 13.69478967196353)	(57.0, 3.545726479680905)	(58.0, 3.1815166647895463)	(59.0, 1.7309353058236516)	(60.0, 0.8848671447703231)	(61.0, 1.192755854266065)	(62.0, 0.8498229014130819)	(63.0, 0.1589506752274823)	(64.0, 0.061327425875170344)	(65.0, 0.057572685515466036)	(66.0, 0.03879898371694448)	(67.0, 0.03504424335724017)	(68.0, 0.021276862038324386)	(69.0, 0.006257900599507173)	(70.0, 0.0012515801199014347)	(71.0, 0.0012515801199014347)	(72.0, 0.0025031602398028693)	(73.0, 0.0025031602398028693)	(74.0, 0.0)	(75.0, 0.0012515801199014347)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0012515801199014347)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
SRR29920102_1	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.0)	(32.0, 0.0)	(33.0, 0.0009157593018247359)	(34.0, 0.0009157593018247359)	(35.0, 0.0018315186036494718)	(36.0, 0.002747277905474208)	(37.0, 0.0018315186036494718)	(38.0, 0.0009157593018247359)	(39.0, 0.002747277905474208)	(40.0, 0.0009157593018247359)	(41.0, 0.0009157593018247359)	(42.0, 0.0036630372072989437)	(43.0, 0.0018315186036494718)	(44.0, 0.002747277905474208)	(45.0, 0.002747277905474208)	(46.0, 0.006410315112773151)	(47.0, 0.012820630225546302)	(48.0, 0.05128252090218522)	(49.0, 0.4917627450798852)	(50.0, 2.2252951034341693)	(51.0, 3.7903277502524877)	(52.0, 12.172272639855601)	(53.0, 44.82367054644776)	(54.0, 30.917865548213847)	(55.0, 3.664868725902527)	(56.0, 0.8910338006754654)	(57.0, 0.3827873881627385)	(58.0, 0.2051300836087409)	(59.0, 0.15293180340473125)	(60.0, 0.0961547266915972)	(61.0, 0.03937764997846367)	(62.0, 0.02380974184744313)	(63.0, 0.00915759301824736)	(64.0, 0.0036630372072989437)	(65.0, 0.002747277905474208)	(66.0, 0.005494555810948415)	(67.0, 0.0009157593018247359)	(68.0, 0.0)	(69.0, 0.0018315186036494718)	(70.0, 0.0036630372072989437)	(71.0, 0.0)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
SRR29920102_2	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.0)	(32.0, 0.000914846122881865)	(33.0, 0.0)	(34.0, 0.0027445383686455953)	(35.0, 0.00182969224576373)	(36.0, 0.0)	(37.0, 0.0)	(38.0, 0.0)	(39.0, 0.0)	(40.0, 0.0027445383686455953)	(41.0, 0.00182969224576373)	(42.0, 0.000914846122881865)	(43.0, 0.000914846122881865)	(44.0, 0.004574230614409325)	(45.0, 0.00365938449152746)	(46.0, 0.0027445383686455953)	(47.0, 0.00548907673729119)	(48.0, 0.010063307351700516)	(49.0, 0.06861345921613982)	(50.0, 0.20675522377130154)	(51.0, 0.5562264427121777)	(52.0, 2.5670582208066133)	(53.0, 4.960295678265111)	(54.0, 14.275258901447907)	(55.0, 41.54316244009198)	(56.0, 29.03447140190549)	(57.0, 3.9841548651503826)	(58.0, 1.2350422658904954)	(59.0, 0.629414132542729)	(60.0, 0.40619167855954763)	(61.0, 0.2241373001060567)	(62.0, 0.08965492004242265)	(63.0, 0.052146229004266305)	(64.0, 0.03018992205510155)	(65.0, 0.021041460826282887)	(66.0, 0.025615691440692222)	(67.0, 0.018296922457637293)	(68.0, 0.013722691843227972)	(69.0, 0.0064039228601730554)	(70.0, 0.0027445383686455953)	(71.0, 0.000914846122881865)	(72.0, 0.0027445383686455953)	(73.0, 0.0027445383686455953)	(74.0, 0.0)	(75.0, 0.000914846122881865)	(76.0, 0.0027445383686455953)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.000914846122881865)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
SRR29920103_1	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0009819806549809201)	(29.0, 0.0)	(30.0, 0.0009819806549809201)	(31.0, 0.0)	(32.0, 0.0)	(33.0, 0.0)	(34.0, 0.0)	(35.0, 0.0009819806549809201)	(36.0, 0.0019639613099618402)	(37.0, 0.0019639613099618402)	(38.0, 0.0019639613099618402)	(39.0, 0.0019639613099618402)	(40.0, 0.0019639613099618402)	(41.0, 0.0029459419649427608)	(42.0, 0.0019639613099618402)	(43.0, 0.0)	(44.0, 0.0019639613099618402)	(45.0, 0.0039279226199236805)	(46.0, 0.0039279226199236805)	(47.0, 0.0039279226199236805)	(48.0, 0.05695487798889337)	(49.0, 0.30539598369906507)	(50.0, 1.3688810330433765)	(51.0, 3.777679579711564)	(52.0, 14.737565669953417)	(53.0, 41.43369175628764)	(54.0, 26.630333382423338)	(55.0, 4.740020621592647)	(56.0, 2.3793391270188344)	(57.0, 2.515834438061198)	(58.0, 1.5446555702849574)	(59.0, 0.2680807188097906)	(60.0, 0.08936023960326363)	(61.0, 0.06088280060881704)	(62.0, 0.025531497029503924)	(63.0, 0.014729709824713803)	(64.0, 0.004909903274904601)	(65.0, 0.0039279226199236805)	(66.0, 0.0039279226199236805)	(67.0, 0.0029459419649427608)	(68.0, 0.0019639613099618402)	(69.0, 0.0019639613099618402)	(70.0, 0.0)	(71.0, 0.0)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
SRR29920103_2	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.0)	(32.0, 0.0)	(33.0, 0.0)	(34.0, 0.0)	(35.0, 0.0)	(36.0, 0.0)	(37.0, 0.0)	(38.0, 0.0)	(39.0, 0.0)	(40.0, 0.0)	(41.0, 0.000981787835648689)	(42.0, 0.0)	(43.0, 0.003927151342594756)	(44.0, 0.006872514849540821)	(45.0, 0.003927151342594756)	(46.0, 0.002945363506946066)	(47.0, 0.007854302685189512)	(48.0, 0.0088360905208382)	(49.0, 0.059889057974570004)	(50.0, 0.23955623189827985)	(51.0, 2.1383339060428814)	(52.0, 11.890432477543385)	(53.0, 14.415590790829752)	(54.0, 16.391929703988765)	(55.0, 28.94114181925202)	(56.0, 11.929703990969351)	(57.0, 3.022924745962448)	(58.0, 3.5658534190760496)	(59.0, 1.9586667321191509)	(60.0, 0.9012812331254965)	(61.0, 1.9822296401747221)	(62.0, 1.8693240390751102)	(63.0, 0.3828972559029866)	(64.0, 0.10897844975700441)	(65.0, 0.06479799715281344)	(66.0, 0.0363261499190015)	(67.0, 0.01865396887732508)	(68.0, 0.01472681753473033)	(69.0, 0.006872514849540821)	(70.0, 0.005890727013892132)	(71.0, 0.005890727013892132)	(72.0, 0.000981787835648689)	(73.0, 0.001963575671297378)	(74.0, 0.004908939178243444)	(75.0, 0.0)	(76.0, 0.001963575671297378)	(77.0, 0.0)	(78.0, 0.000981787835648689)	(79.0, 0.000981787835648689)	(80.0, 0.000981787835648689)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
