.	Basic Statistics	Per Base Sequence Quality	Per Tile Sequence Quality	Per Sequence Quality Scores	Per Base Sequence Content	Per Sequence GC Content	Per Base N Content	Sequence Length Distribution	Sequence Duplication Levels	Overrepresented Sequences	Adapter Content
SRR29920099_1	1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR29920099_2	1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR29920100_1	1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR29920100_2	1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR29920101_1	1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR29920101_2	1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR29920102_1	1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR29920102_2	1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR29920103_1	1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR29920103_2	1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR29920104_1	1	1	1	1	0.25	0.5	1	1	0.25	0.25	1
SRR29920104_2	1	1	1	1	0.25	0.5	1	1	0.25	0.25	1
SRR29920105_1	1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR29920105_2	1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR29920106_1	1	1	1	1	0.25	0.5	1	1	0.25	0.25	1
SRR29920106_2	1	1	1	1	0.25	1	1	1	0.25	0.25	1
SRR29920107_1	1	1	1	1	0.25	0.5	1	1	0.25	0.25	1
SRR29920107_2	1	1	1	1	0.25	0.5	1	1	0.25	0.25	1
SRR29920108_1	1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR29920108_2	1	0.25	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR29920109_1	1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR29920109_2	1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR29920110_1	1	1	1	1	0.25	0.5	1	1	0.25	0.25	1
SRR29920110_2	1	0.25	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR29920111_1	1	1	1	1	0.25	0.5	1	1	0.25	0.25	1
SRR29920111_2	1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR29920112_1	1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR29920112_2	1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR29920113_1	1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR29920113_2	1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR29920114_1	1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR29920114_2	1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR29920115_1	1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR29920115_2	1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR29920116_1	1	1	1	1	0.25	0.5	1	1	0.25	0.25	1
SRR29920116_2	1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR29920117_1	1	1	1	1	0.25	0.5	1	1	0.25	0.25	1
SRR29920117_2	1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR29920118_1	1	1	1	1	0.25	0.5	1	1	0.25	0.25	1
SRR29920118_2	1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR29920119_1	1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR29920119_2	1	0.5	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR29920120_1	1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR29920120_2	1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR29920121_1	1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR29920121_2	1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR29920122_1	1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR29920122_2	1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR29920123_1	1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR29920123_2	1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR29920124_1	1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR29920124_2	1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR29920125_1	1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR29920125_2	1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR29920126_1	1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR29920126_2	1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR29920127_1	1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR29920127_2	1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR29920128_1	1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR29920128_2	1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR29920129_1	1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR29920129_2	1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR29920130_1	1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR29920130_2	1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR29920131_1	1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR29920131_2	1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
