Sample	Top overrepresented sequence	Sum of remaining overrepresented sequences
SRR29920099_1	8.134745012596174	73.31824062095727
SRR29920099_2	15.823517396336898	71.4271124123374
SRR29920100_1	6.2708991800650455	75.79741346403434
SRR29920100_2	15.096269830363552	72.39094254347786
SRR29920101_1	6.230805463966086	71.7004239284032
SRR29920101_2	11.943476212906265	74.90532265661801
SRR29920102_1	5.327537265334668	72.93583643020723
SRR29920102_2	13.99558438352783	74.5759225484415
SRR29920103_1	5.735411081980734	74.376233540519
SRR29920103_2	11.05252305063776	75.6119833858662
SRR29920104_1	2.5181690679586892	74.00388881805434
SRR29920104_2	11.268009690169578	74.47405329593265
SRR29920105_1	3.220433092726263	68.05823506714725
SRR29920105_2	11.889816392023263	75.3827911047535
SRR29920106_1	1.567897053843549	68.88023478947967
SRR29920106_2	10.995597697257027	74.20250592617681
SRR29920107_1	2.294487090020935	67.29937194696438
SRR29920107_2	9.832519190509421	76.60711793440336
SRR29920108_1	2.9826423103160766	65.7128780413856
SRR29920108_2	10.361555370272114	74.35887718234417
SRR29920109_1	5.0974991517474	68.88210286809172
SRR29920109_2	10.56623355886873	74.40472626389636
SRR29920110_1	2.5107519103547147	66.51980061289183
SRR29920110_2	8.609419594123604	77.17833046177319
SRR29920111_1	2.7383353226049856	69.18275232881976
SRR29920111_2	10.954713201904214	74.10105499993142
SRR29920112_1	2.6848564886051105	68.97754946266518
SRR29920112_2	9.758047905787707	76.08587663714458
SRR29920113_1	3.439314034222408	68.83939750350947
SRR29920113_2	8.574572219903631	77.26220738323784
SRR29920114_1	3.37992885415101	68.19379728443306
SRR29920114_2	7.395160078160229	78.51996593015677
SRR29920115_1	3.955285221108006	70.85977313825416
SRR29920115_2	8.167022850567154	78.34456682557948
SRR29920116_1	3.3788918778725403	68.90237282410698
SRR29920116_2	6.648008974993064	78.87981470982061
SRR29920117_1	2.484274225654909	69.29559147490517
SRR29920117_2	5.229981155612178	80.09661066433104
SRR29920118_1	2.9947734921447293	68.92321531041115
SRR29920118_2	6.630065602754385	78.26579196327485
SRR29920119_1	3.2833010486218575	71.8625212375686
SRR29920119_2	7.36632506195418	78.70182994794766
SRR29920120_1	3.539175836323747	68.64402455824106
SRR29920120_2	7.858977193489686	78.14248541641868
SRR29920121_1	2.4846252797406123	70.57569296375262
SRR29920121_2	7.686479056899681	79.10095332076337
SRR29920122_1	4.338358712252952	72.2097049795104
SRR29920122_2	10.320424611755454	75.15234912522115
SRR29920123_1	5.793285787286987	73.02872758781578
SRR29920123_2	11.101113110711191	74.94945455353374
SRR29920124_1	3.433283064689869	71.20585988758107
SRR29920124_2	13.629330774202394	73.37002291466732
SRR29920125_1	3.1789432072736856	65.67235472394262
SRR29920125_2	10.124851759125049	76.00803794966399
SRR29920126_1	2.2173011156584628	68.19532432583958
SRR29920126_2	7.296630599316028	77.58872007624602
SRR29920127_1	4.269985488043409	72.43674679790524
SRR29920127_2	11.331945233137738	76.02845605400972
SRR29920128_1	5.952976488244122	77.53715567461145
SRR29920128_2	13.211444431893366	74.66636544078489
SRR29920129_1	4.71711111389456	72.4626426343674
SRR29920129_2	12.08211731402733	75.06294074176134
SRR29920130_1	4.890097512309722	76.35085122131754
SRR29920130_2	11.535738422424613	75.92443600553531
SRR29920131_1	6.101546222173484	73.36330738019518
SRR29920131_2	12.211865336111416	75.28237745366818
SRR29920132_1	6.707034794363276	70.89976482787993
SRR29920132_2	13.367775864303836	73.12556709812418
SRR29920133_1	6.415770609318996	74.66308243727595
SRR29920133_2	15.379928315412187	71.34050179211465
SRR29920134_1	6.98709726099751	71.90636082396442
SRR29920134_2	13.615785105259187	72.46472496793182
SRR29920135_1	2.6205946899608414	68.41659853407349
SRR29920135_2	9.568684825795717	75.54685370856463
