Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57
SRR29920099_1	(1, 33.03870770068768)	(2, 33.44185333968816)	(3, 33.0829475045959)	(4, 33.58665826921767)	(5, 33.452287737454895)	(6, 36.797167563151085)	(7, 36.866259276911556)	(8, 36.84438619187036)	(9, 36.88608973922516)	(10, 37.157060665895)	(15, 37.379042690815005)	(20, 38.10779601007694)	(25, 37.54414107714305)	(30, 38.165251583032614)	(35, 37.68385306733846)	(40, 37.52983250493634)	(45, 37.70526996663716)	(50, 37.43569483216451)	(55, 36.68494587049772)	(60, 37.49018519779397)	(65, 37.0589705181453)	(70, 37.02239054946551)	(75, 37.1881187444679)	(80, 36.45230816368217)	(85, 37.165197113093214)	(90, 37.214036222509705)	(95, 36.960928031592566)	(100, 36.25727854565262)	(105, 36.83369987063389)	(110, 36.35983522843331)	(115, 36.486682099816164)	(120, 36.999125076598354)	(125, 37.15547763328114)	(130, 37.315033703275006)	(135, 36.92829372914822)	(140, 36.2015898413563)	(145, 35.94831143187854)	(150, 35.670296861169746)	(155, 35.037131476816235)	(160, 35.1979539729012)	(165, 35.579417171648394)	(170, 35.5710662490638)	(175, 35.23601143868727)	(180, 35.045111322938645)	(185, 34.20768026145571)	(190, 34.95254306529584)	(195, 34.92334377340505)	(200, 34.86242255055491)	(205, 34.6543099339552)	(210, 34.411125485122895)	(215, 34.109140736705925)	(220, 34.09448491863553)	(225, 34.30361884659903)	(230, 34.4779635051406)	(235, 34.21601756655546)	(240, 33.90236944236399)	(245, 34.19890719684074)	(250, 32.694764077074964)
SRR29920099_2	(1, 31.81910873561653)	(2, 30.843586164635393)	(3, 31.13777490297542)	(4, 30.63157894736842)	(5, 30.769796418601484)	(6, 32.19278954177163)	(7, 35.309304146524134)	(8, 33.75626404303125)	(9, 32.899979573772725)	(10, 33.83116361408048)	(15, 36.672516511200385)	(20, 36.40620957309185)	(25, 37.89675563423435)	(30, 37.34619731735548)	(35, 37.355011234425)	(40, 36.58929665690747)	(45, 37.12742221011779)	(50, 37.367311227616256)	(55, 37.40614489003881)	(60, 38.07302376251106)	(65, 38.23791448219514)	(70, 37.16060461632736)	(75, 36.722142030366996)	(80, 36.524742969973445)	(85, 36.59232654728672)	(90, 36.40308436031865)	(95, 36.92511064206441)	(100, 36.858190917137605)	(105, 36.42420507932185)	(110, 36.506914277932864)	(115, 36.76922448423776)	(120, 36.63342752093688)	(125, 36.12433784979914)	(130, 36.19192142711241)	(135, 36.55388779192483)	(140, 34.95691427793287)	(145, 36.060805474228914)	(150, 36.06442091645673)	(155, 36.48347858650507)	(160, 36.168761489752846)	(165, 36.180343160618236)	(170, 35.52860352692858)	(175, 34.86931640226051)	(180, 34.28827194117247)	(185, 33.96899979573773)	(190, 33.87497787158712)	(195, 34.41354258868387)	(200, 34.32312589364744)	(205, 34.22169946210935)	(210, 34.01184040307756)	(215, 33.87709879485259)	(220, 34.07613535779942)	(225, 33.80125280860625)	(230, 32.80151154081841)	(235, 33.066946959896505)	(240, 33.73323687614897)	(245, 32.50444951317492)	(250, 27.922908013889835)
SRR29920100_1	(1, 33.09091047898249)	(2, 33.466004000427525)	(3, 33.148519689127085)	(4, 33.584444139068296)	(5, 33.49136548944162)	(6, 36.81245323927748)	(7, 36.86161879895561)	(8, 36.82912677690746)	(9, 36.87591040263845)	(10, 37.162197486754316)	(15, 37.346739346189665)	(20, 38.04038599544989)	(25, 37.81814239689738)	(30, 38.14273281114012)	(35, 37.709507886339)	(40, 37.89356419770051)	(45, 37.8458247446292)	(50, 37.64833188279663)	(55, 36.806669415051985)	(60, 37.290150092376294)	(65, 37.268498923549075)	(70, 37.45708701693311)	(75, 37.49853266761333)	(80, 37.113651840654725)	(85, 37.239356877834275)	(90, 37.53972180233002)	(95, 37.32829462690669)	(100, 36.8982547753195)	(105, 36.93133922709298)	(110, 36.69763486174095)	(115, 36.32264516818591)	(120, 37.05160246133174)	(125, 37.50678698486861)	(130, 37.711996701937615)	(135, 37.3319194417724)	(140, 36.587781900355765)	(145, 36.388194158154306)	(150, 35.91785076267693)	(155, 35.63491670865589)	(160, 35.39723939963049)	(165, 35.688061319530334)	(170, 36.01262119615837)	(175, 35.947469195181164)	(180, 35.2613286916159)	(185, 34.636678729024474)	(190, 34.77734719741041)	(195, 35.270059395660596)	(200, 35.153167514085474)	(205, 34.892806864855785)	(210, 34.77272074878231)	(215, 34.51686134396042)	(220, 34.577701433741005)	(225, 34.50633197440948)	(230, 34.40961324110974)	(235, 34.32125570671675)	(240, 34.46619027987724)	(245, 34.47669827309789)	(250, 33.34883117279709)
SRR29920100_2	(1, 29.234773181866764)	(2, 31.647061518024827)	(3, 31.118058418456933)	(4, 30.20124288091857)	(5, 30.80904829523766)	(6, 32.90171468706579)	(7, 34.80910937046707)	(8, 33.43792466370452)	(9, 32.822836028277834)	(10, 33.690079855862464)	(15, 36.68991189898158)	(20, 36.62771899286946)	(25, 37.8662360862993)	(30, 37.281846914937475)	(35, 37.28073229200067)	(40, 36.53421587039836)	(45, 37.113279281755304)	(50, 37.42209396424045)	(55, 37.41543676423434)	(60, 38.051706289221755)	(65, 38.219418869192125)	(70, 37.493826821187)	(75, 36.8295084970913)	(80, 36.71231429313056)	(85, 36.239054555448675)	(90, 36.7503824836242)	(95, 36.96062174583543)	(100, 37.32628525185898)	(105, 36.573951414655006)	(110, 36.699268624127775)	(115, 36.91387781900356)	(120, 37.060809552165885)	(125, 36.704282900462644)	(130, 36.36399309849908)	(135, 36.73612752507901)	(140, 35.99660727100606)	(145, 35.96687279556594)	(150, 36.47250240483716)	(155, 36.97710595025423)	(160, 36.59345578916831)	(165, 36.13109492617532)	(170, 36.151356633533354)	(175, 35.34722184050204)	(180, 34.660910326294406)	(185, 33.80959186477944)	(190, 34.01221809964424)	(195, 34.6091063167056)	(200, 34.6429389400394)	(205, 34.58838349136549)	(210, 34.389678286229056)	(215, 34.01373887285664)	(220, 33.600229032110306)	(225, 34.39417036935245)	(230, 33.6837402470493)	(235, 32.52565312323454)	(240, 33.921570244148235)	(245, 33.38326844090208)	(250, 28.11888293405402)
SRR29920101_1	(1, 32.820273198304285)	(2, 33.35658973151201)	(3, 33.08209138012247)	(4, 33.5627131417805)	(5, 33.422213848327836)	(6, 36.81959491285916)	(7, 36.87259538389072)	(8, 36.85880357983985)	(9, 36.883278379651436)	(10, 37.17265002355158)	(15, 37.38936599152144)	(20, 38.10290720678285)	(25, 37.553021196420154)	(30, 38.19799152143193)	(35, 37.7472972209138)	(40, 37.75369571361281)	(45, 37.756250588789456)	(50, 37.45768817710787)	(55, 36.771964201601506)	(60, 37.454462552991046)	(65, 37.1257315120113)	(70, 37.034558643429115)	(75, 37.16467263306642)	(80, 36.6937465850212)	(85, 37.17841921808761)	(90, 37.36513989637306)	(95, 37.15130287329251)	(100, 36.54656994818653)	(105, 36.901626000942066)	(110, 36.44320678285445)	(115, 36.51637494112106)	(120, 37.066762129062646)	(125, 37.26126801695713)	(130, 37.405637305699486)	(135, 37.05845313235987)	(140, 36.381445124823365)	(145, 36.02435798398492)	(150, 35.800301460197836)	(155, 35.29667074894017)	(160, 35.32354215732454)	(165, 35.692638718794164)	(170, 35.68276212906265)	(175, 35.4393179463024)	(180, 35.18716910032972)	(185, 34.45204710315591)	(190, 35.0632199717381)	(195, 35.104693358455016)	(200, 34.97998681111635)	(205, 34.821234102684876)	(210, 34.68310880829016)	(215, 34.39777296278851)	(220, 34.369183231276494)	(225, 34.45109373528027)	(230, 34.63815355628827)	(235, 34.44556570890249)	(240, 34.24442016015073)	(245, 34.34741026848799)	(250, 32.52868582195007)
SRR29920101_2	(1, 29.60246820536976)	(2, 29.127235044747998)	(3, 31.70411681582666)	(4, 30.538841262364578)	(5, 30.841620348563353)	(6, 32.75911446066886)	(7, 35.230711257654264)	(8, 33.361959491285916)	(9, 33.06769665567593)	(10, 34.16223080546397)	(15, 36.78958455016486)	(20, 36.856478568064055)	(25, 37.98658125294395)	(30, 37.50837494112106)	(35, 37.659606217616584)	(40, 36.75909938765897)	(45, 37.162049929345265)	(50, 37.42248893075837)	(55, 37.48966556759303)	(60, 38.10579368817711)	(65, 38.29108243052284)	(70, 37.30251907677815)	(75, 36.80988412623646)	(80, 36.666189354686765)	(85, 36.59989072067829)	(90, 36.48656052755534)	(95, 36.96036552048987)	(100, 36.8823099387659)	(105, 36.55849646726331)	(110, 36.56603297220913)	(115, 36.70563542157325)	(120, 36.74827319830429)	(125, 36.288512482336316)	(130, 36.23613754121526)	(135, 36.56489119170984)	(140, 35.32593876589731)	(145, 36.018901554404145)	(150, 36.14817522373999)	(155, 36.578407913330196)	(160, 36.273699481865286)	(165, 36.20682807348093)	(170, 35.784327837965144)	(175, 35.047095619406505)	(180, 34.44250965614696)	(185, 34.016934526613284)	(190, 34.00302967498823)	(195, 34.40874234573717)	(200, 34.44225718323128)	(205, 34.367585492227974)	(210, 34.179628827131424)	(215, 33.93527272727273)	(220, 33.91179274611399)	(225, 33.97633160621761)	(230, 33.04403203014601)	(235, 33.13956853509185)	(240, 33.83739236928874)	(245, 32.97197550635893)	(250, 27.867414036740463)
SRR29920102_1	(1, 33.05712875224552)	(2, 33.45099625632516)	(3, 33.15265416946642)	(4, 33.591500623945805)	(5, 33.48807646421568)	(6, 36.81239115231134)	(7, 36.868916528392965)	(8, 36.83557999533755)	(9, 36.88321928609629)	(10, 37.1700615717949)	(15, 37.36739026096019)	(20, 38.06014563306501)	(25, 37.79275674341429)	(30, 38.17218984408211)	(35, 37.82379770442796)	(40, 37.89952689823512)	(45, 37.818243901101155)	(50, 37.607111610877226)	(55, 36.78138584534372)	(60, 37.341442343293615)	(65, 37.186451462501545)	(70, 37.36349025684626)	(75, 37.38299027741591)	(80, 36.99211771320434)	(85, 37.23932367017265)	(90, 37.484124350342135)	(95, 37.28064945216187)	(100, 36.76275249235495)	(105, 36.93240267131083)	(110, 36.6152105645681)	(115, 36.3733033473664)	(120, 37.06210934821661)	(125, 37.41400929747816)	(130, 37.60704030278513)	(135, 37.242055318623756)	(140, 36.504216776599975)	(145, 36.285440807427015)	(150, 35.88716042949412)	(155, 35.56115080290169)	(160, 35.36330101614031)	(165, 35.6837211853599)	(170, 35.90297985546398)	(175, 35.80558945737285)	(180, 35.27110513829656)	(185, 34.56683625193697)	(190, 34.77747212813516)	(195, 35.20939621244326)	(200, 35.033813748748685)	(205, 34.84152325055195)	(210, 34.753356279911685)	(215, 34.42918695061914)	(220, 34.514671639948986)	(225, 34.46074352399106)	(230, 34.468400916034724)	(235, 34.33504107071843)	(240, 34.370014947273155)	(245, 34.304576059679384)	(250, 32.98224154244888)
SRR29920102_2	(1, 30.1341277786158)	(2, 32.015824911207716)	(3, 31.852309970791108)	(4, 32.1197153161554)	(5, 31.53090245875787)	(6, 33.069182562428864)	(7, 34.93804423844329)	(8, 33.79577088161486)	(9, 33.01113503284286)	(10, 33.95550923576924)	(15, 36.83744771882671)	(20, 36.98459470948809)	(25, 37.992238388437116)	(30, 37.50486677728563)	(35, 37.673716111514885)	(40, 36.77098583437324)	(45, 37.194898728796126)	(50, 37.48847140134114)	(55, 37.47694417399175)	(60, 38.10599125104562)	(65, 38.274782990277416)	(70, 37.490862965045324)	(75, 36.814812884823716)	(80, 36.712315730290854)	(85, 36.302464243105746)	(90, 36.716819110568686)	(95, 36.86669226444332)	(100, 37.21441794769826)	(105, 36.56819384830575)	(110, 36.65666250702796)	(115, 36.90448281063588)	(120, 37.00626414162885)	(125, 36.611848113763834)	(130, 36.330924399709275)	(135, 36.675465902390194)	(140, 35.86651125159415)	(145, 35.968830135896766)	(150, 36.41159579282257)	(155, 36.89817204448528)	(160, 36.5326549922521)	(165, 36.143877788900625)	(170, 36.06251799843671)	(175, 35.31716468055346)	(180, 34.688726464901336)	(185, 34.16158413669213)	(190, 34.11845096883013)	(195, 34.5786322559412)	(200, 34.57206368361148)	(205, 34.56241240760802)	(210, 34.39948987287961)	(215, 34.14821935466177)	(220, 33.80967047433595)	(225, 34.334786007158236)	(230, 33.620789051465245)	(235, 32.94509825432306)	(240, 33.89895643349835)	(245, 33.29493301153271)	(250, 27.746019774282463)
SRR29920103_1	(1, 33.12722773735529)	(2, 33.41585412554865)	(3, 33.17782130968863)	(4, 33.59206999145727)	(5, 33.49020532005774)	(6, 36.83995640262763)	(7, 36.889887177070136)	(8, 36.85683565558076)	(9, 36.884084013314876)	(10, 37.15652929566677)	(15, 37.378572480631576)	(20, 38.11736825050814)	(25, 37.54693198220756)	(30, 38.19458273190562)	(35, 37.767419801455205)	(40, 37.784988364214804)	(45, 37.87198868824933)	(50, 37.432335699767286)	(55, 36.67413909918402)	(60, 37.33353757327599)	(65, 36.96396441511768)	(70, 37.04604530591804)	(75, 37.16984711461985)	(80, 36.652900108993435)	(85, 36.974262821456975)	(90, 37.256791469054704)	(95, 37.13261849353404)	(100, 36.56976463310455)	(105, 36.76985595192507)	(110, 36.40156714879076)	(115, 36.35133296020267)	(120, 36.90707278993726)	(125, 37.237281644917076)	(130, 37.396503372904824)	(135, 37.02888915073497)	(140, 36.33578814033641)	(145, 36.064818687954755)	(150, 35.71455798745103)	(155, 35.20144048074941)	(160, 35.146498954252216)	(165, 35.52694199782013)	(170, 35.575093528146816)	(175, 35.375149497746484)	(180, 35.024499955813475)	(185, 34.407744425133295)	(190, 34.81780127846348)	(195, 35.04254573305447)	(200, 34.90948537425988)	(205, 34.71145314755354)	(210, 34.53728459068547)	(215, 34.304350899932246)	(220, 34.24341178896515)	(225, 34.23930538781041)	(230, 34.459637081332666)	(235, 34.22379591716499)	(240, 34.1764397443073)	(245, 34.13207647214775)	(250, 32.00860164373877)
SRR29920103_2	(1, 29.879444428079065)	(2, 31.903069490676643)	(3, 31.944884673166996)	(4, 31.390874009485373)	(5, 31.044613662473857)	(6, 32.72230241258432)	(7, 35.23608860871358)	(8, 33.68452293280702)	(9, 32.804415706837126)	(10, 34.07689928417828)	(15, 36.70046248563938)	(20, 36.811037794208616)	(25, 37.90721713258903)	(30, 37.40382949892479)	(35, 37.6039944619554)	(40, 36.649521312634405)	(45, 37.06367572981412)	(50, 37.3196453294842)	(55, 37.40968863227973)	(60, 38.05617874922674)	(65, 38.23085103249183)	(70, 37.06580552036999)	(75, 36.66617963295725)	(80, 36.55451144431025)	(85, 36.30473384982473)	(90, 36.25693286593808)	(95, 36.763534332930746)	(100, 36.64527940613309)	(105, 36.21651103190267)	(110, 36.28124429257372)	(115, 36.42309187851651)	(120, 36.51370960615077)	(125, 36.049312163077744)	(130, 36.02267947093999)	(135, 36.329510707868145)	(140, 35.25976669514243)	(145, 35.79551654048959)	(150, 35.89660942056735)	(155, 36.31473178778684)	(160, 36.03663063009986)	(165, 35.97149379915752)	(170, 35.58452587857543)	(175, 34.77640439508646)	(180, 34.23065072024038)	(185, 33.85890358500014)	(190, 33.8300409461808)	(195, 34.19064718531829)	(200, 34.25275871211006)	(205, 34.10457183256252)	(210, 33.900963266268)	(215, 33.643146669808814)	(220, 33.546705158040474)	(225, 33.77009750493416)	(230, 32.82451468465549)	(235, 32.673249477126106)	(240, 33.43658938934221)	(245, 32.85883288655846)	(250, 27.6775561905323)
