Sample	Unique Reads	Duplicate Reads
SRR29920099_1	3809.0	54939.0
SRR29920099_2	2622.0	56126.0
SRR29920100_1	3855.0	61638.0
SRR29920100_2	2841.0	62652.0
SRR29920101_1	3828.0	49247.0
SRR29920101_2	2574.0	50501.0
SRR29920102_1	4495.0	68428.0
SRR29920102_2	2868.0	70055.0
SRR29920103_1	4490.0	63404.0
SRR29920103_2	3046.0	64848.0
SRR29920104_1	4957.0	57787.0
SRR29920104_2	3371.0	59373.0
SRR29920105_1	7627.0	98632.0
SRR29920105_2	4110.0	102149.0
SRR29920106_1	7140.0	81450.0
SRR29920106_2	4210.0	84380.0
SRR29920107_1	6084.0	65566.0
SRR29920107_2	3298.0	68352.0
SRR29920108_1	6409.0	72749.0
SRR29920108_2	4155.0	75003.0
SRR29920109_1	4305.0	45798.0
SRR29920109_2	2846.0	47257.0
SRR29920110_1	6324.0	69709.0
SRR29920110_2	3836.0	72197.0
SRR29920111_1	6028.0	66863.0
SRR29920111_2	3595.0	69296.0
SRR29920112_1	6272.0	76265.0
SRR29920112_2	3824.0	78713.0
SRR29920113_1	4510.0	48204.0
SRR29920113_2	2844.0	49870.0
SRR29920114_1	7183.0	92612.0
SRR29920114_2	4348.0	95447.0
SRR29920115_1	4829.0	56001.0
SRR29920115_2	3041.0	57789.0
SRR29920116_1	6438.0	76459.0
SRR29920116_2	4065.0	78832.0
SRR29920117_1	6344.0	69010.0
SRR29920117_2	3840.0	71514.0
SRR29920118_1	5444.0	59035.0
SRR29920118_2	3373.0	61106.0
SRR29920119_1	6923.0	85484.0
SRR29920119_2	4381.0	88026.0
SRR29920120_1	4862.0	53937.0
SRR29920120_2	2842.0	55957.0
SRR29920121_1	4860.0	51889.0
SRR29920121_2	2954.0	53795.0
SRR29920122_1	4465.0	61666.0
SRR29920122_2	3371.0	62760.0
SRR29920123_1	5121.0	84897.0
SRR29920123_2	3673.0	86345.0
SRR29920124_1	4162.0	46897.0
SRR29920124_2	2487.0	48572.0
SRR29920125_1	5379.0	55333.0
SRR29920125_2	2994.0	57718.0
SRR29920126_1	6181.0	65167.0
SRR29920126_2	3501.0	67847.0
SRR29920127_1	4547.0	58849.0
SRR29920127_2	2917.0	60479.0
SRR29920128_1	3808.0	58161.0
SRR29920128_2	2580.0	59389.0
SRR29920129_1	5019.0	74818.0
SRR29920129_2	3446.0	76391.0
SRR29920130_1	4079.0	58067.0
SRR29920130_2	2666.0	59480.0
SRR29920131_1	3493.0	42102.0
SRR29920131_2	2430.0	43165.0
SRR29920132_1	3883.0	50120.0
SRR29920132_2	2696.0	51307.0
SRR29920133_1	3707.0	52093.0
SRR29920133_2	2665.0	53135.0
SRR29920134_1	3701.0	49311.0
SRR29920134_2	2944.0	50068.0
SRR29920135_1	5852.0	63865.0
SRR29920135_2	3516.0	66201.0
SRR29920136_1	4983.0	54691.0
SRR29920136_2	3266.0	56408.0
SRR29920137_1	5289.0	57685.0
SRR29920137_2	3781.0	59193.0
SRR29920138_1	6373.0	80446.0
SRR29920138_2	3016.0	83803.0
SRR29920139_1	5716.0	72763.0
SRR29920139_2	3605.0	74874.0
SRR29920140_1	6506.0	72399.0
SRR29920140_2	3731.0	75174.0
SRR29920141_1	3859.0	46774.0
SRR29920141_2	2322.0	48311.0
SRR29920142_1	2980.0	38165.0
SRR29920142_2	2180.0	38965.0
SRR29920143_1	4889.0	53839.0
SRR29920143_2	2637.0	56091.0
SRR29920144_1	6566.0	81799.0
SRR29920144_2	3661.0	84704.0
SRR29920145_1	4964.0	54119.0
SRR29920145_2	2686.0	56397.0
SRR29920146_1	5561.0	61375.0
SRR29920146_2	3209.0	63727.0
SRR29920147_1	3505.0	64118.0
SRR29920147_2	3127.0	64496.0
SRR29920148_1	3240.0	61314.0
SRR29920148_2	2868.0	61686.0
SRR29920149_1	2792.0	34173.0
SRR29920149_2	2338.0	34627.0
SRR29920150_1	3102.0	38237.0
SRR29920150_2	2456.0	38883.0
SRR29920151_1	4278.0	48759.0
SRR29920151_2	2887.0	50150.0
SRR29920152_1	4057.0	44171.0
SRR29920152_2	3162.0	45066.0
SRR29920153_1	3967.0	42821.0
SRR29920153_2	2667.0	44121.0
SRR29920154_1	3958.0	59353.0
SRR29920154_2	3202.0	60109.0
SRR29920155_1	4775.0	64442.0
SRR29920155_2	3455.0	65762.0
SRR29920156_1	5546.0	68694.0
SRR29920156_2	3794.0	70446.0
SRR29920157_1	3857.0	60596.0
SRR29920157_2	2982.0	61471.0
SRR29920158_1	5419.0	70434.0
SRR29920158_2	3637.0	72216.0
SRR29920159_1	3987.0	44858.0
SRR29920159_2	2919.0	45926.0
SRR29920160_1	4797.0	47662.0
SRR29920160_2	2940.0	49519.0
SRR29920161_1	4805.0	52108.0
SRR29920161_2	2725.0	54188.0
SRR29920162_1	5987.0	71007.0
SRR29920162_2	3730.0	73264.0
SRR29920163_1	4859.0	55290.0
SRR29920163_2	2802.0	57347.0
SRR29920164_1	4104.0	40461.0
SRR29920164_2	2400.0	42165.0
SRR29920165_1	5755.0	66871.0
SRR29920165_2	3462.0	69164.0
SRR29920166_1	3815.0	37608.0
SRR29920166_2	2276.0	39147.0
SRR29920167_1	4263.0	44004.0
SRR29920167_2	2704.0	45563.0
SRR29920168_1	6172.0	71204.0
SRR29920168_2	4051.0	73325.0
SRR29920169_1	5341.0	56779.0
SRR29920169_2	3248.0	58872.0
SRR29920170_1	4498.0	49879.0
SRR29920170_2	3373.0	51004.0
SRR29920171_1	5418.0	55123.0
SRR29920171_2	2883.0	57658.0
SRR29920172_1	3931.0	52256.0
SRR29920172_2	2795.0	53392.0
SRR29920173_1	3756.0	50768.0
SRR29920173_2	2657.0	51867.0
SRR29920174_1	4263.0	38832.0
SRR29920174_2	2783.0	40312.0
SRR29920175_1	5023.0	52475.0
SRR29920175_2	2927.0	54571.0
SRR29920176_1	4684.0	49864.0
SRR29920176_2	2811.0	51737.0
SRR29920177_1	3099.0	35876.0
SRR29920177_2	2386.0	36589.0
SRR29920178_1	3692.0	38578.0
SRR29920178_2	2156.0	40114.0
SRR29920179_1	3820.0	47810.0
SRR29920179_2	2548.0	49082.0
SRR29920180_1	4405.0	59427.0
SRR29920180_2	2733.0	61099.0
SRR29920181_1	4343.0	41402.0
SRR29920181_2	2637.0	43108.0
SRR29920182_1	4617.0	86307.0
SRR29920182_2	3591.0	87333.0
SRR29920183_1	2727.0	52142.0
SRR29920183_2	2209.0	52660.0
SRR29920184_1	3233.0	46486.0
SRR29920184_2	2583.0	47136.0
SRR29920185_1	3357.0	48613.0
SRR29920185_2	2580.0	49390.0
SRR29920186_1	3789.0	51049.0
SRR29920186_2	2737.0	52101.0
SRR29920187_1	4392.0	58759.0
SRR29920187_2	3187.0	59964.0
SRR29920188_1	4598.0	58696.0
SRR29920188_2	2862.0	60432.0
SRR29920189_1	4402.0	53657.0
SRR29920189_2	3056.0	55003.0
SRR29920190_1	5031.0	72270.0
SRR29920190_2	3149.0	74152.0
SRR29920191_1	3438.0	44207.0
SRR29920191_2	2246.0	45399.0
SRR29920192_1	4029.0	44396.0
SRR29920192_2	2381.0	46044.0
SRR29920193_1	4794.0	48197.0
SRR29920193_2	3082.0	49909.0
SRR29920194_1	4934.0	52406.0
SRR29920194_2	3079.0	54261.0
SRR29920195_1	5082.0	61583.0
SRR29920195_2	3224.0	63441.0
SRR29920196_1	5815.0	57696.0
SRR29920196_2	3008.0	60503.0
SRR29920197_1	4802.0	57317.0
SRR29920197_2	3009.0	59110.0
SRR29920198_1	5294.0	57706.0
SRR29920198_2	3382.0	59618.0
SRR29920199_1	4930.0	57524.0
SRR29920199_2	3115.0	59339.0
SRR29920200_1	5761.0	76723.0
SRR29920200_2	3553.0	78931.0
