Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
SRR29920099_1	(1.0, 3.9711990195410904)	(2.0, 1.9098522502893716)	(3.0, 1.2051474092735073)	(4.0, 0.9532239395383674)	(5.0, 0.7489616667801456)	(6.0, 0.520868795533465)	(7.0, 0.39320487505957646)	(8.0, 0.39490706066589504)	(9.0, 0.520868795533465)	('>10', 6.989174099543814)	('>50', 6.805338054061415)	('>100', 14.706883638591952)	('>500', 2.6911554435895693)	('>1k', 58.189214951998366)	('>5k', 0.0)	('>10k+', 0.0)
SRR29920099_2	(1.0, 2.74732756859808)	(2.0, 1.174508068359774)	(3.0, 0.70981139783482)	(4.0, 0.6944917273779533)	(5.0, 0.7149179546537755)	(6.0, 0.5821474773609314)	(7.0, 0.35745897732688775)	(8.0, 0.46299448491863554)	(9.0, 0.398311431878532)	('>10', 4.626540477973718)	('>50', 1.5983522843330835)	('>100', 5.418056784911827)	('>500', 3.4775651937087217)	('>1k', 39.8771021992238)	('>5k', 37.160413971539455)	('>10k+', 0.0)
SRR29920100_1	(1.0, 3.4644923884995342)	(2.0, 2.009375047715023)	(3.0, 1.296321744308552)	(4.0, 0.9161284412074573)	(5.0, 0.5954834867848473)	(6.0, 0.46722550501580323)	(7.0, 0.3099567892751897)	(8.0, 0.3175911929519185)	(9.0, 0.32980623883468463)	('>10', 6.63276991434199)	('>50', 3.418685966439161)	('>100', 8.223779640572275)	('>500', 17.974440016490313)	('>1k', 54.04394362756325)	('>5k', 0.0)	('>10k+', 0.0)
SRR29920100_2	(1.0, 2.728535874062877)	(2.0, 1.0504939459178844)	(3.0, 0.8428381659108607)	(4.0, 0.6107522941383049)	(5.0, 0.5802146794313896)	(6.0, 0.5130319270761761)	(7.0, 0.40615027560197275)	(8.0, 0.4153115600140473)	(9.0, 0.35729009207090834)	('>10', 4.018750095430046)	('>50', 2.701052020826653)	('>100', 3.006428167895806)	('>500', 0.993999358710091)	('>1k', 46.33930343700853)	('>5k', 35.43584810590445)	('>10k+', 0.0)
SRR29920101_1	(1.0, 4.216674517192652)	(2.0, 2.309938765897315)	(3.0, 1.4300518134715026)	(4.0, 0.9872821479039096)	(5.0, 0.659444182760245)	(6.0, 0.5200188412623646)	(7.0, 0.5011775788977861)	(8.0, 0.40697126707489406)	(9.0, 0.3900141309467734)	('>10', 10.34762129062647)	('>50', 8.540744229863401)	('>100', 21.64107395195478)	('>500', 9.16062176165803)	('>1k', 38.88836552048987)	('>5k', 0.0)	('>10k+', 0.0)
SRR29920101_2	(1.0, 2.888365520489873)	(2.0, 1.3829486575600565)	(3.0, 1.0682995760715968)	(4.0, 0.7385774846914743)	(5.0, 0.7065473386716911)	(6.0, 0.599152143193594)	(7.0, 0.5143664625529911)	(8.0, 0.3316062176165803)	(9.0, 0.3560998586905323)	('>10', 4.467263306641545)	('>50', 1.1568535091851155)	('>100', 6.434291097503533)	('>500', 7.7927461139896375)	('>1k', 59.61940650023551)	('>5k', 11.943476212906265)	('>10k+', 0.0)
SRR29920102_1	(1.0, 3.5146661547111337)	(2.0, 2.0185675301345256)	(3.0, 1.2012670899441877)	(4.0, 0.8940937701411078)	(5.0, 0.7473636575566007)	(6.0, 0.6253171153134128)	(7.0, 0.6239458058500061)	(8.0, 0.4388190282901142)	(9.0, 0.4319624809730812)	('>10', 8.178489639757004)	('>50', 6.314880078987425)	('>100', 7.7684681101984285)	('>500', 11.616362464517367)	('>1k', 55.625797073625606)	('>5k', 0.0)	('>10k+', 0.0)
SRR29920102_2	(1.0, 2.388821085254309)	(2.0, 1.0860770950180327)	(3.0, 0.7075956831178092)	(4.0, 0.5924056881916542)	(5.0, 0.5279541434115437)	(6.0, 0.6500006856547318)	(7.0, 0.3263716522907725)	(8.0, 0.4827009311191257)	(9.0, 0.34556998477846496)	('>10', 3.7491600729536634)	('>50', 0.9228912688726465)	('>100', 5.8116095059172)	('>500', 1.8553817039891392)	('>1k', 39.82694074571809)	('>5k', 26.730935370184987)	('>10k+', 13.99558438352783)
SRR29920103_1	(1.0, 4.031284060447168)	(2.0, 2.1386278610775618)	(3.0, 1.1002444987775062)	(4.0, 0.8837305211064307)	(5.0, 0.6554334698206027)	(6.0, 0.5390756178749226)	(7.0, 0.4124075765163343)	(8.0, 0.40062450290158186)	(9.0, 0.3844227766812973)	('>10', 7.523492503019414)	('>50', 5.421686746987952)	('>100', 16.75700356437977)	('>500', 12.955489439420273)	('>1k', 46.79647686098919)	('>5k', 0.0)	('>10k+', 0.0)
SRR29920103_2	(1.0, 2.741037499631779)	(2.0, 1.1105546881904145)	(3.0, 0.8660559106843021)	(4.0, 0.7187674904998969)	(5.0, 0.5302383126638585)	(6.0, 0.6539605856187587)	(7.0, 0.5155094706454179)	(8.0, 0.5302383126638585)	(9.0, 0.3844227766812973)	('>10', 4.5850885203405305)	('>50', 1.8646713995345687)	('>100', 4.007717913217663)	('>500', 4.188882670044481)	('>1k', 49.42557516128082)	('>5k', 27.877279288302354)	('>10k+', 0.0)
SRR29920104_1	(1.0, 4.778146117557057)	(2.0, 2.486293510136427)	(3.0, 1.448744103021803)	(4.0, 0.8542649496366187)	(5.0, 0.8048578350121127)	(6.0, 0.5546347061073569)	(7.0, 0.6582302690297079)	(8.0, 0.5610098176718092)	(9.0, 0.47335203366058903)	('>10', 9.137128649751372)	('>50', 6.800650261379575)	('>100', 36.17078923881168)	('>500', 21.748693102129288)	('>1k', 13.523205406094608)	('>5k', 0.0)	('>10k+', 0.0)
SRR29920104_2	(1.0, 3.4106846869820218)	(2.0, 1.4057120999617494)	(3.0, 0.9658294020145352)	(4.0, 0.943516511538952)	(5.0, 0.5817289302562795)	(6.0, 0.6693867142674997)	(7.0, 0.43510136427387475)	(8.0, 0.4972587020272855)	(9.0, 0.3586000255004463)	('>10', 4.802052785923753)	('>50', 0.5498533724340177)	('>100', 3.73900293255132)	('>500', 5.420438607675634)	('>1k', 56.94090271579753)	('>5k', 19.279931148795104)	('>10k+', 0.0)
SRR29920105_1	(1.0, 4.271638167119962)	(2.0, 2.394150142576158)	(3.0, 1.2817737791622357)	(4.0, 0.9373323671406657)	(5.0, 0.65406224413932)	(6.0, 0.587244374594152)	(7.0, 0.5336018596071862)	(8.0, 0.4366688939289849)	(9.0, 0.37267431464628875)	('>10', 7.158923008874542)	('>50', 8.736201168842168)	('>100', 29.876057557477488)	('>500', 16.69882080576704)	('>1k', 26.060851316123813)	('>5k', 0.0)	('>10k+', 0.0)
SRR29920105_2	(1.0, 2.3715638204763834)	(2.0, 0.9881515918651597)	(3.0, 0.7001759850930274)	(4.0, 0.5797156005608937)	(5.0, 0.5834799875775228)	(6.0, 0.3952606367460638)	(7.0, 0.42819902314156916)	(8.0, 0.37643870166291793)	(9.0, 0.35573457307145745)	('>10', 4.691367319474115)	('>50', 1.1584901043676301)	('>100', 1.3344751973950442)	('>500', 5.311550080463773)	('>1k', 47.227058413875525)	('>5k', 21.60852257220565)	('>10k+', 11.889816392023263)
SRR29920106_1	(1.0, 4.878654475674455)	(2.0, 2.544305226323513)	(3.0, 1.3647138503217067)	(4.0, 0.9120668246980471)	(5.0, 0.6885653008240208)	(6.0, 0.5689129698611581)	(7.0, 0.4266847273958686)	(8.0, 0.39733604244271364)	(9.0, 0.46732136810023706)	('>10', 10.264138164578394)	('>50', 9.826165481431314)	('>100', 44.2250818376792)	('>500', 19.234676600067726)	('>1k', 4.2013771306016485)	('>5k', 0.0)	('>10k+', 0.0)
SRR29920106_2	(1.0, 3.063551190879332)	(2.0, 1.110734845919404)	(3.0, 0.7517778530308161)	(4.0, 0.6727621627723219)	(5.0, 0.5531098318094593)	(6.0, 0.5147307822553335)	(7.0, 0.38717688226662156)	(8.0, 0.577943334462129)	(9.0, 0.4063664070436844)	('>10', 4.7996387854159615)	('>50', 2.695563833389773)	('>100', 6.727621627723219)	('>500', 3.8142002483350264)	('>1k', 40.905294051247324)	('>5k', 33.0195281634496)	('>10k+', 0.0)
SRR29920107_1	(1.0, 5.15003489183531)	(2.0, 2.5122121423586883)	(3.0, 1.4696441032798326)	(4.0, 0.9490579204466155)	(5.0, 0.8304256803907886)	(6.0, 0.6531751570132589)	(7.0, 0.6741102581995814)	(8.0, 0.4466154919748779)	(9.0, 0.4396371249127704)	('>10', 11.80321004884857)	('>50', 10.921144452198185)	('>100', 37.41381716678298)	('>500', 18.341939986043265)	('>1k', 8.394975575715282)	('>5k', 0.0)	('>10k+', 0.0)
SRR29920107_2	(1.0, 2.911374738311235)	(2.0, 1.1584089323098397)	(3.0, 0.7452896022330775)	(4.0, 0.6643405443126308)	(5.0, 0.5652477320307048)	(6.0, 0.619678995115143)	(7.0, 0.47871598046057223)	(8.0, 0.3349616189811584)	(9.0, 0.4396371249127704)	('>10', 4.625261688764829)	('>50', 1.8381018841591066)	('>100', 6.3447313328681085)	('>500', 3.3440334961618983)	('>1k', 51.367759944173066)	('>5k', 24.56245638520586)	('>10k+', 0.0)
SRR29920108_1	(1.0, 4.859900452260037)	(2.0, 2.559438085853609)	(3.0, 1.2620328962328506)	(4.0, 0.9146264433158998)	(5.0, 0.7200788296824073)	(6.0, 0.6518608352914425)	(7.0, 0.5747997675535006)	(8.0, 0.3234038252608707)	(9.0, 0.4434169635412719)	('>10', 12.972788600015159)	('>50', 9.733697162636751)	('>100', 26.217185881401754)	('>500', 17.8377422370449)	('>1k', 20.92902801990955)	('>5k', 0.0)	('>10k+', 0.0)
SRR29920108_2	(1.0, 3.2428813259556835)	(2.0, 1.4452108441345157)	(3.0, 1.034639581596301)	(4.0, 0.7124990525278557)	(5.0, 0.6379645771747644)	(6.0, 0.6291215038277875)	(7.0, 0.5040551807776852)	(8.0, 0.5154248465095126)	(9.0, 0.4547866292730993)	('>10', 4.7297809444402334)	('>50', 1.950529321104626)	('>100', 6.162358826650497)	('>500', 12.344930392379798)	('>1k', 41.04954647666692)	('>5k', 24.586270496980724)	('>10k+', 0.0)
SRR29920109_1	(1.0, 5.17533880206774)	(2.0, 2.5148194718879107)	(3.0, 1.628644991317885)	(4.0, 1.1097139891822845)	(5.0, 0.7085404067620702)	(6.0, 0.6706185258367762)	(7.0, 0.726503402989841)	(8.0, 0.7025527413528132)	(9.0, 0.6466678641997485)	('>10', 12.136997784563798)	('>50', 7.308943576232959)	('>100', 26.162106061513285)	('>500', 10.193002415025049)	('>1k', 30.315549967067838)	('>5k', 0.0)	('>10k+', 0.0)
SRR29920109_2	(1.0, 3.5427020338103508)	(2.0, 1.4250643674031496)	(3.0, 1.1975330818513863)	(4.0, 0.9021415883280441)	(5.0, 0.57880765622817)	(6.0, 0.6586431950182624)	(7.0, 0.7125321837015748)	(8.0, 0.3832105861924436)	(9.0, 0.6107418717442069)	('>10', 5.017663612957308)	('>50', 0.5748158792886654)	('>100', 1.7923078458375745)	('>500', 10.512344570185418)	('>1k', 61.52525796858471)	('>5k', 10.56623355886873)	('>10k+', 0.0)
SRR29920110_1	(1.0, 4.992569016085121)	(2.0, 2.583088921915484)	(3.0, 1.3573053805584416)	(4.0, 1.0258703457709153)	(5.0, 0.6313048281667171)	(6.0, 0.6076308971104653)	(7.0, 0.5708047821340734)	(8.0, 0.44191337971670197)	(9.0, 0.4971525521812897)	('>10', 13.111412149987506)	('>50', 9.232833111938238)	('>100', 32.65555745531545)	('>500', 17.971144108479212)	('>1k', 14.321413070640379)	('>5k', 0.0)	('>10k+', 0.0)
SRR29920110_2	(1.0, 3.0670892901766336)	(2.0, 1.4520011047834493)	(3.0, 1.0061420698907053)	(4.0, 0.7470440466639485)	(5.0, 0.6773374718872069)	(6.0, 0.5445004142937935)	(7.0, 0.5247721384135835)	(8.0, 0.44191337971670197)	(9.0, 0.3432720003156524)	('>10', 4.238948877461103)	('>50', 1.5282837715202608)	('>100', 6.149961201057436)	('>500', 13.665119093025396)	('>1k', 57.00419554667052)	('>5k', 8.609419594123604)	('>10k+', 0.0)
SRR29920111_1	(1.0, 5.070584845865745)	(2.0, 2.6697397483914336)	(3.0, 1.226488866938305)	(4.0, 0.9109492255559671)	(5.0, 0.6173601679219657)	(6.0, 0.5103510721488249)	(7.0, 0.5762028233938346)	(8.0, 0.40608579934422634)	(9.0, 0.5185825410544511)	('>10', 11.41430354913501)	('>50', 8.53877707810292)	('>100', 33.70237752260224)	('>500', 21.216611104251555)	('>1k', 12.621585655293522)	('>5k', 0.0)	('>10k+', 0.0)
