Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
SRR29920099_1	SRR29920099_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	58748.0	14.6 Mbp	0.0	250.0	53.0	6.483624974467215	250.0	250	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
SRR29920099_2	SRR29920099_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	58748.0	14.6 Mbp	0.0	250.0	55.0	4.463130659767141	250.0	250	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
SRR29920100_1	SRR29920100_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	65493.0	16.3 Mbp	0.0	250.0	52.0	5.884598354022567	250.0	250	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
SRR29920100_2	SRR29920100_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	65493.0	16.3 Mbp	0.0	250.0	54.0	4.33786816911731	250.0	250	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
SRR29920101_1	SRR29920101_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	53075.0	13.2 Mbp	0.0	250.0	53.0	7.212435233160622	250.0	250	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
SRR29920101_2	SRR29920101_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	53075.0	13.2 Mbp	0.0	250.0	54.0	4.849740932642487	250.0	250	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
SRR29920102_1	SRR29920102_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	72923.0	18.2 Mbp	0.0	250.0	52.0	6.164036038012698	250.0	250	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
SRR29920102_2	SRR29920102_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	72923.0	18.2 Mbp	0.0	250.0	54.0	3.9329155410501486	250.0	250	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
SRR29920103_1	SRR29920103_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	67894.0	16.9 Mbp	0.0	250.0	53.0	6.6132500662797895	250.0	250	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
SRR29920103_2	SRR29920103_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	67894.0	16.9 Mbp	0.0	250.0	54.0	4.48640527881698	250.0	250	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
SRR29920104_1	SRR29920104_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	62744.0	15.6 Mbp	0.0	250.0	52.0	7.900357006247609	250.0	250	pass	pass	pass	pass	fail	warn	pass	pass	fail	fail	pass
