Sample	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
SRR29920099_1	93.51637502553278	53.0	250.0	250	36.36363636363637	0.058747999999999995
SRR29920099_2	95.53686934023285	55.0	250.0	250	36.36363636363637	0.058747999999999995
SRR29920100_1	94.11540164597743	52.0	250.0	250	36.36363636363637	0.065493
SRR29920100_2	95.66213183088269	54.0	250.0	250	36.36363636363637	0.065493
SRR29920101_1	92.78756476683938	53.0	250.0	250	36.36363636363637	0.053075
SRR29920101_2	95.15025906735751	54.0	250.0	250	36.36363636363637	0.053075
SRR29920102_1	93.8359639619873	52.0	250.0	250	36.36363636363637	0.072923
SRR29920102_2	96.06708445894985	54.0	250.0	250	36.36363636363637	0.072923
SRR29920103_1	93.38674993372021	53.0	250.0	250	36.36363636363637	0.067894
SRR29920103_2	95.51359472118303	54.0	250.0	250	36.36363636363637	0.067894
SRR29920104_1	92.0996429937524	52.0	250.0	250	27.27272727272727	0.062744
SRR29920104_2	94.62896850694887	54.0	250.0	250	27.27272727272727	0.062744
SRR29920105_1	92.82225505604231	53.0	250.0	250	36.36363636363637	0.10625899999999999
SRR29920105_2	96.13209234041352	55.0	250.0	250	36.36363636363637	0.10625899999999999
SRR29920106_1	91.9403995936336	53.0	250.0	250	27.27272727272727	0.08859
SRR29920106_2	95.24777062873913	54.0	250.0	250	27.27272727272727	0.08859
SRR29920107_1	91.50872295882763	52.0	250.0	250	27.27272727272727	0.07164999999999999
SRR29920107_2	95.39706908583392	55.0	250.0	250	27.27272727272727	0.07164999999999999
SRR29920108_1	91.90353470274641	52.0	250.0	250	36.36363636363637	0.07915799999999999
SRR29920108_2	94.75100432047297	54.0	250.0	250	45.45454545454545	0.07915799999999999
SRR29920109_1	91.40969602618605	53.0	250.0	250	36.36363636363637	0.050102999999999995
SRR29920109_2	94.31970141508492	55.0	250.0	250	36.36363636363637	0.050102999999999995
SRR29920110_1	91.6825588889035	52.0	250.0	250	27.27272727272727	0.076033
SRR29920110_2	94.95482224823432	54.0	250.0	250	45.45454545454545	0.076033
SRR29920111_1	91.73011757281421	52.0	250.0	250	27.27272727272727	0.072891
SRR29920111_2	95.06797821404562	54.0	250.0	250	36.36363636363637	0.072891
SRR29920112_1	92.4009838012043	52.0	250.0	250	36.36363636363637	0.082537
SRR29920112_2	95.36692634818324	54.0	250.0	250	36.36363636363637	0.082537
SRR29920113_1	91.44439807261828	53.0	250.0	250	36.36363636363637	0.052714
SRR29920113_2	94.6048488067686	55.0	250.0	250	36.36363636363637	0.052714
SRR29920114_1	92.80224460143293	53.0	250.0	250	36.36363636363637	0.099795
SRR29920114_2	95.64306828999449	55.0	250.0	250	36.36363636363637	0.099795
SRR29920115_1	92.0614828209765	53.0	250.0	250	36.36363636363637	0.060829999999999995
SRR29920115_2	95.00246588854183	55.0	250.0	250	36.36363636363637	0.060829999999999995
SRR29920116_1	92.23373584086276	53.0	250.0	250	27.27272727272727	0.082897
SRR29920116_2	95.09632435431922	55.0	250.0	250	36.36363636363637	0.082897
SRR29920117_1	91.58107067972503	53.0	250.0	250	27.27272727272727	0.07535399999999999
SRR29920117_2	94.90405287045147	54.0	250.0	250	36.36363636363637	0.07535399999999999
SRR29920118_1	91.55694101955676	53.0	250.0	250	27.27272727272727	0.064479
SRR29920118_2	94.76883946711332	55.0	250.0	250	36.36363636363637	0.064479
SRR29920119_1	92.50814332247558	52.0	250.0	250	36.36363636363637	0.09240699999999999
