	SRR29920099	SRR29920100	SRR29920101	SRR29920102	SRR29920103	SRR29920104	SRR29920105	SRR29920106	SRR29920107	SRR29920108	SRR29920109	SRR29920110	SRR29920111	SRR29920112	SRR29920113	SRR29920114	SRR29920115	SRR29920116	SRR29920117	SRR29920118	SRR29920119	SRR29920120	SRR29920121	SRR29920122	SRR29920123	SRR29920124	SRR29920125	SRR29920126	SRR29920127	SRR29920128	SRR29920129	SRR29920130	SRR29920131	SRR29920132	SRR29920133	SRR29920134	SRR29920135	SRR29920136	SRR29920137	SRR29920138	SRR29920139	SRR29920140	SRR29920141	SRR29920142	SRR29920143	SRR29920144	SRR29920145	SRR29920146	SRR29920147	SRR29920148	SRR29920149	SRR29920150	SRR29920151	SRR29920152	SRR29920153	SRR29920154	SRR29920155	SRR29920156	SRR29920157	SRR29920158	SRR29920159	SRR29920160	SRR29920161	SRR29920162	SRR29920163	SRR29920164	SRR29920165	SRR29920166	SRR29920167	SRR29920168	SRR29920169	SRR29920170	SRR29920171	SRR29920172	SRR29920173	SRR29920174	SRR29920175	SRR29920176	SRR29920177	SRR29920178	SRR29920179	SRR29920180	SRR29920181	SRR29920182	SRR29920183	SRR29920184	SRR29920185	SRR29920186	SRR29920187	SRR29920188	SRR29920189	SRR29920190	SRR29920191	SRR29920192	SRR29920193	SRR29920194	SRR29920195	SRR29920196	SRR29920197	SRR29920198	SRR29920199	SRR29920200
ASV_0001	29068	11227	19023	14247	21513	8196	8787	771	2110	3127	15388	2950	5121	2684	9985	18016	12762	15755	4931	11350	4212	10817	7349	14205	27895	4457	8863	3441	11840	12310	18777	15039	16999	20745	8329	20612	2412	6781	6163	7162	8871	14019	8416	15626	6016	19504	12007	8115	6515	4792	5529	10447	10069	2187	6245	11778	19263	12729	32402	10043	639	3905	2824	15294	5575	2268	9030	2241	4738	13184	10264	10569	6135	23964	26323	3040	3371	7745	14956	11282	18843	20378	2906	30162	5751	20583	16658	15823	18707	13066	13888	10493	6577	7145	2110	4712	10724	4866	9063	8657	15258	19646
ASV_0002	0	20864	0	20083	0	7743	17329	2173	7812	149	1659	718	9810	19	3739	6270	4451	3610	2044	3201	1029	1647	5004	12950	13704	9193	2828	1347	13641	19767	16315	10525	0	0	18844	0	2464	6326	6064	10571	13495	4631	12885	0	10840	4532	3922	7565	31717	33752	10753	7250	3282	995	7337	0	5130	0	5	1708	139	280	24	3530	12905	2533	6948	3257	206	2768	1090	4497	2475	0	0	1825	6822	3706	0	9	0	0	3489	18031	29724	0	8840	0	0	8073	2804	17723	13289	7356	1354	823	4087	2829	13073	581	0	0
ASV_0003	0	0	0	0	0	0	1927	743	1245	689	1520	1169	1019	2433	1255	2480	2544	1408	992	1315	1459	1027	763	971	3779	508	2609	3156	0	0	1215	1573	0	0	403	0	1622	3003	2283	2167	2017	2204	1172	0	952	1624	1113	1477	0	0	12	0	0	0	336	483	0	1468	958	0	0	3248	1027	757	362	304	481	658	1183	2214	1228	652	1300	0	0	705	379	1641	0	1611	1243	3400	476	0	0	0	0	0	0	1570	3675	1903	559	1663	2219	4565	5885	2728	1455	1980	1850	3388
ASV_0004	1934	13	568	4	1645	0	1336	151	117	9	299	14	30	48	698	862	1098	1197	422	879	35	149	442	700	727	98	1592	304	1432	2545	1056	950	1954	1183	635	2126	626	2414	878	2829	774	902	1470	3432	528	1480	1198	1408	1091	1336	606	336	623	96	155	431	171	401	340	383	4	215	62	458	328	114	292	33	27	740	633	858	431	2389	1233	51	116	322	1324	5	0	0	213	2270	260	91	901	5769	579	551	2012	2172	1197	1164	108	573	1259	1657	347	161	3171	3775
ASV_0005	317	0	893	0	385	0	6500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1990	6709	0	0	73	162	67	0	100	0	8716	0	0	0	0	0	0	169	0	0	0	0	0	0	0	0	0	0	1676	0	1104	0	0	8827	0	0	0	472	26	5484	365	0	0	0	0	0	3383	190	691	3334	3527	1865	633	2729	487	1608	0	0	0	1911	0	216	1961	0	0	0	0	1643	5398	0	0	6570	0	0	2317	3544
ASV_0006	754	1954	1843	902	7168	590	28	2428	358	154	114	172	212	59	23	252	6	80	142	117	112	80	50	35	274	277	193	34	103	39	210	0	717	700	25	2044	112	58	24	121	15	420	69	1885	35	5	13	9	0	10	9	419	148	25	6	15105	453	1534	1293	321	29	502	256	26	175	53	44	285	153	394	203	146	20	620	331	13	15	21	316	1601	4420	6536	44	87	0	1058	137	6215	433	15	72	33	0	40	23	156	189	222	802	75	3831	6287
ASV_0007	2228	797	1289	992	1599	613	644	65	201	273	1116	230	444	216	673	1273	916	0	0	0	319	756	580	963	2100	329	713	320	828	910	1318	1044	1203	1506	656	1446	224	514	454	489	652	998	562	1040	449	1409	856	567	473	343	361	752	481	105	411	865	1448	927	2337	820	33	280	198	1002	418	190	633	169	322	1013	731	738	404	1718	1932	209	253	559	1045	750	1463	1363	200	2015	381	1530	1185	951	1298	857	1032	762	464	472	159	362	789	354	724	603	1043	1246
ASV_0008	0	0	0	0	0	0	0	593	2064	5301	409	4283	3296	0	494	371	153	0	0	0	581	2407	0	0	121	542	8	0	695	124	0	0	0	0	0	0	0	0	0	0	1282	2267	48	0	130	0	0	0	0	0	0	87	7335	7802	0	886	0	1713	1341	0	12112	0	0	0	0	0	0	0	0	2114	2786	540	0	0	0	0	0	0	0	0	17	0	3614	100	81	0	393	0	0	2346	0	0	0	0	0	0	0	0	252	6188	51	94
ASV_0009	0	0	0	0	0	0	1119	3425	2733	0	1165	0	0	293	1057	3212	809	2664	1004	1806	0	1695	0	0	0	0	1854	36	0	0	832	817	0	0	567	0	0	675	283	1466	347	1237	490	0	892	1351	748	512	0	0	0	0	658	241	1292	0	0	0	0	0	0	764	1237	1503	1287	1283	1374	1044	1227	1654	1427	1553	2514	0	0	1171	1541	1702	0	0	0	0	325	0	0	0	0	0	0	312	833	726	520	679	107	768	1012	1111	0	653	0	0
ASV_0010	0	0	0	0	0	0	1102	2943	2395	0	1158	0	0	330	1058	2970	841	2553	1003	1715	0	1507	0	0	0	0	1935	0	0	0	745	715	0	0	598	0	0	660	307	1475	331	1190	532	0	947	1341	737	529	0	0	0	0	605	257	1307	0	0	0	0	0	6	704	1256	1466	1249	1291	1347	965	1197	1611	1446	1369	2471	0	0	1205	1509	1640	0	0	0	0	313	0	0	0	0	0	0	301	750	789	449	583	91	737	977	1108	0	639	0	0
